municipio,codigo_ibge,nome_ubs
PIRIPIRI,2208403,UBS 01 VISTA ALEGRE
PIRIPIRI,2208403,UBS 02 SANTA MARIA
PIRIPIRI,2208403,UBS 03 PRADO
PIRIPIRI,2208403,UBS 04 PACIENCIA 1
PIRIPIRI,2208403,UBS 05 RECREIO
PIRIPIRI,2208403,UBS 06 SAO JOAO
PIRIPIRI,2208403,UBS 07 CAIXA DAGUA
PIRIPIRI,2208403,UBS 08 GERMANO
PIRIPIRI,2208403,UBS 09 FLORESTA
PIRIPIRI,2208403,UBS 10 FURNAS
PIRIPIRI,2208403,UBS 11 CALDEIRAO
PIRIPIRI,2208403,UBS 12 VARZEA
PIRIPIRI,2208403,UBS 13 MATADOURO
PIRIPIRI,2208403,UBS 14 FORMOSA
PIRIPIRI,2208403,UBS 15 BARCELONA
PIRIPIRI,2208403,UBS 16 VERTENTES
PIRIPIRI,2208403,UBS 17 FONTE DOS MATOS
PIRIPIRI,2208403,UBS 18 CENTRO
PIRIPIRI,2208403,UBS 19 ESTACAO
PIRIPIRI,2208403,UBS 2024 PETECAS CRIOLI
PIRIPIRI,2208403,UBS 21 PACIENCIA 2
PIRIPIRI,2208403,UBS 22 SUSSUARANA
PIRIPIRI,2208403,UBS 23 SAO LUIS
PIRIPIRI,2208403,UBS 25 PE DO MORRO
PIRIPIRI,2208403,UBS 26 QUEBRADAS
PIRIPIRI,2208403,UBS 27 BANDA
PIRIPIRI,2208403,UBS 28 BAIXAO
PIRIPIRI,2208403,UBS 29 PETECAS III IV
PIRIPIRI,2208403,UBS 30 PARQUE RECREIO
PIRIPIRI,2208403,UBS 31 JENIPAPEIRO
PIRIPIRI,2208403,UBSF SERTAO DE DENTRO PSF 14
